epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
166,146.541,0.19933,0.82432,1,1.05436,0.000325227,0.000325227,0.000325227
167,147.589,0.16979,0.81081,0.93243,0.95231,0.000322871,0.000322871,0.000322871
168,148.507,0.13205,0.76351,0.93243,1.10579,0.000320515,0.000320515,0.000320515
169,149.339,0.18689,0.81081,0.93243,0.75195,0.000318158,0.000318158,0.000318158
170,150.179,0.14836,0.7973,0.93243,0.64714,0.000315802,0.000315802,0.000315802
171,151.086,0.16044,0.78378,0.93243,0.74406,0.000313446,0.000313446,0.000313446
172,151.945,0.15041,0.82432,0.93243,0.7168,0.00031109,0.00031109,0.00031109
173,152.796,0.14643,0.82432,0.93243,0.65894,0.000308734,0.000308734,0.000308734
174,153.629,0.20733,0.82432,1,0.6932,0.000306377,0.000306377,0.000306377
175,154.48,0.1444,0.82432,1,0.65023,0.000304021,0.000304021,0.000304021
176,155.375,0.16747,0.82432,1,0.57113,0.000301665,0.000301665,0.000301665
177,156.221,0.14744,0.81757,1,0.63997,0.000299309,0.000299309,0.000299309
178,157.104,0.16536,0.81757,1,1.00635,0.000296953,0.000296953,0.000296953
179,157.999,0.16185,0.81081,0.93243,1.07878,0.000294596,0.000294596,0.000294596
180,158.836,0.15649,0.82432,0.93243,0.8833,0.00029224,0.00029224,0.00029224
181,159.634,0.13623,0.81757,0.93243,0.90625,0.000289884,0.000289884,0.000289884
182,160.434,0.14065,0.85135,0.93243,0.88965,0.000287528,0.000287528,0.000287528
183,161.308,0.14348,0.84459,0.93243,0.89697,0.000285172,0.000285172,0.000285172
184,162.184,0.16295,0.81757,0.93243,0.9821,0.000282815,0.000282815,0.000282815
185,163.027,0.15794,0.85135,0.93243,0.90658,0.000280459,0.000280459,0.000280459
186,163.875,0.13442,0.82432,0.93243,0.76571,0.000278103,0.000278103,0.000278103
187,164.741,0.13485,0.82432,0.93243,0.89762,0.000275747,0.000275747,0.000275747
188,165.621,0.15451,0.82432,0.93243,0.91488,0.000273391,0.000273391,0.000273391
189,166.505,0.17164,0.82432,1,0.90316,0.000271034,0.000271034,0.000271034
190,167.384,0.15003,0.81757,1,0.80347,0.000268678,0.000268678,0.000268678
191,168.201,0.15567,0.7973,0.93243,0.81938,0.000266322,0.000266322,0.000266322
192,169.096,0.13188,0.82432,0.93243,0.98877,0.000263966,0.000263966,0.000263966
193,169.94,0.16741,0.82432,0.93243,0.76978,0.00026161,0.00026161,0.00026161
194,170.796,0.12101,0.85135,1,0.7417,0.000259253,0.000259253,0.000259253
195,171.679,0.1687,0.82432,1,0.77563,0.000256897,0.000256897,0.000256897
196,172.55,0.15527,0.82432,0.93243,1.13981,0.000254541,0.000254541,0.000254541
197,173.41,0.1444,0.81757,0.93243,0.88216,0.000252185,0.000252185,0.000252185
198,174.254,0.13221,0.82432,0.93243,0.93538,0.000249829,0.000249829,0.000249829
199,175.122,0.16022,0.82432,0.93243,0.78662,0.000247472,0.000247472,0.000247472
200,176.011,0.13825,0.83784,0.93243,0.76799,0.000245116,0.000245116,0.000245116
201,176.857,0.13563,0.83108,0.93243,0.86914,0.00024276,0.00024276,0.00024276
202,177.729,0.15529,0.85135,0.93243,0.79118,0.000240404,0.000240404,0.000240404
203,178.64,0.1324,0.82432,0.93243,0.86589,0.000238048,0.000238048,0.000238048
204,179.491,0.14987,0.82432,0.93243,1.23177,0.000235691,0.000235691,0.000235691
